회원번호,회원상태,성별,나이,결혼,구독여부,총구매액,가루,건강일반,건어물,견과,과실주,과일,과일채소,과자,기름/식초,김장채소,김치,꿀,냉동수산,닭/오리,돼지,두부/유부,떡,말린나물/건재,멥쌀,밀가공,밑반찬,버섯,보리/혼합곡,빵,뿌리채소,생물수산,생활용품,섬유,세제/세안,소,소금,소스/기타양념,손질한채소,수산가공,식기/편백,식사대용,쌈채소류,알,양념채소,어묵/묵,열매채소,유색미/발아미,유제품,육가공,음료,잎/줄기채소,장,잼/병조림/기타,전통주,절임/장아찌,중량(정육),즉석조리,차,찹쌀,콩/화본/깨,콩나물,해조,홍삼/녹용,화장품
18764160,True,여,68,기혼,False,811902,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,10,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18792000,True,남,83,불명,False,9955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18942336,True,여,39,기혼,False,1418288,0,1,0,0,0,9,2,6,0,0,2,0,1,5,2,3,0,1,0,5,1,2,0,3,0,2,1,0,0,2,0,0,0,0,1,0,0,4,2,0,3,0,2,5,4,2,1,0,0,0,0,0,1,1,0,2,1,0,4
18949760,True,여,73,불명,0,35130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19391488,True,여,52,기혼,False,3159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19627200,True,여,45,불명,False,4461358,4,4,8,5,0,9,8,28,1,0,1,0,7,15,2,6,4,2,2,20,2,3,0,19,10,5,1,0,2,5,0,4,0,6,0,6,1,12,27,4,8,2,10,18,3,32,5,1,0,1,19,0,0,2,2,5,3,0,5
19727424,True,여,50,기혼,False,1241245,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,1,0,2,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,4,2,0,0,0,1,1,0,0,0,0,1,0,0,0
19996544,True,여,45,불명,False,2825136,4,0,1,1,0,1,2,1,0,0,0,0,2,3,9,6,10,3,0,20,0,5,0,5,8,2,0,0,1,6,0,1,0,0,0,1,10,13,17,0,8,1,6,8,2,30,0,0,0,0,0,1,0,1,1,8,5,0,6
20235968,True,여,53,불명,0,406526,0,0,1,0,0,2,0,0,0,0,0,0,3,2,1,5,0,0,0,0,0,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,4,1,0,0,0,0,1,0,0,1,1,1,0,0
20258240,True,여,43,기혼,False,6796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
